ha,sf,pimf,ppgf,shgf,sa,pima,ppgf,shga,,,,,,,wl
0,25,10,0,1,36,6,0,0,,,,,,,0
1,42,8,1,0,35,12,2,0,,,,,,,0
0,25,12,0,0,38,8,0,1,,,,,,,0
1,37,11,1,0,36,13,0,0,,,,,,,1
0,28,10,1,0,32,14,1,0,,,,,,,0
1,44,12,1,0,35,8,2,0,,,,,,,1
1,18,46,0,0,39,17,1,1,,,,,,,0
0,30,10,0,0,36,8,0,1,,,,,,,0
1,30,12,1,0,29,8,1,2,,,,,,,0
0,26,15,1,0,35,27,2,1,,,,,,,0
1,34,21,0,0,28,19,1,0,,,,,,,0
0,33,24,2,0,37,20,1,0,,,,,,,1
0,24,13,1,0,34,17,0,0,,,,,,,1
1,36,27,0,0,36,17,1,0,,,,,,,0
1,28,10,2,0,34,18,1,0,,,,,,,1
1,23,19,2,0,32,15,0,0,,,,,,,1
0,25,4,1,0,38,6,0,0,,,,,,,0
0,30,26,0,1,25,18,3,0,,,,,,,1
0,18,15,1,0,33,13,0,0,,,,,,,1
0,21,12,0,1,44,10,0,0,,,,,,,1
0,23,13,1,0,26,25,1,0,,,,,,,1
0,27,12,2,0,52,18,2,1,,,,,,,0
1,24,8,0,0,20,8,2,0,,,,,,,0
1,37,12,1,0,55,10,1,1,,,,,,,0
1,36,10,0,0,32,12,0,0,,,,,,,1
0,30,8,0,1,27,6,0,0,,,,,,,1
1,21,6,0,0,30,10,0,0,,,,,,,0
1,30,22,0,0,32,16,0,0,,,,,,,0
0,27,13,0,0,29,15,0,1,,,,,,,0
0,25,15,2,0,38,21,1,0,,,,,,,1
1,39,17,3,0,34,23,1,1,,,,,,,1
0,30,41,0,0,39,29,4,0,,,,,,,0
0,30,8,0,0,32,2,0,0,,,,,,,0
1,35,16,0,0,30,10,3,0,,,,,,,0
1,41,10,0,0,36,19,0,0,,,,,,,0
0,29,16,0,0,28,14,3,1,,,,,,,0
0,17,14,1,0,34,10,1,0,,,,,,,1
1,33,10,0,0,26,4,1,0,,,,,,,0
1,27,24,1,0,40,16,0,0,,,,,,,0
0,18,10,1,0,24,6,1,0,,,,,,,0
0,29,23,0,0,30,17,1,0,,,,,,,0
0,22,12,1,0,33,12,1,0,,,,,,,0
1,32,12,1,0,28,16,1,0,,,,,,,0
