ha,sf,pimf,ppgf,shgf,sa,pima,ppgf,shga,blockedshots,giveaways,takeaways,hits,wl
0,27,14,1,0,35,14,2,0,13,6,1,10,0
1,28,37,0,0,41,21,2,0,7,10,7,9,0
1,33,17,1,0,45,13,0,0,11,4,11,11,0
0,39,15,0,1,30,11,3,0,11,12,6,13,0
0,32,40,2,0,33,22,2,0,15,15,10,26,0
1,30,10,0,0,33,16,0,0,9,5,6,12,1
1,33,18,2,0,40,12,0,0,7,3,4,10,1
0,21,11,0,0,29,13,1,1,14,6,9,15,0
1,31,16,2,0,40,10,1,1,14,3,6,10,0
0,27,6,0,0,24,8,2,0,10,6,5,9,0
1,39,14,0,0,40,12,0,0,13,4,5,17,1
1,37,10,1,0,48,12,2,0,10,9,5,10,0
0,27,14,0,0,32,10,2,0,8,7,5,8,0
0,32,17,0,0,35,15,0,0,20,8,26,23,0
0,29,25,2,0,47,23,3,0,21,12,25,10,0
1,27,6,0,0,33,8,0,0,8,4,1,10,1
1,26,13,1,0,25,17,1,0,11,6,6,13,0
1,38,8,0,0,27,8,0,0,14,4,4,10,0
0,21,18,0,1,44,8,1,0,13,12,8,20,0
1,28,11,0,0,26,13,1,0,10,7,6,7,0
0,26,8,0,1,35,4,0,0,12,8,9,16,0
0,37,19,1,0,38,23,4,0,9,9,4,10,0
0,25,12,0,0,31,8,0,0,9,12,6,17,1
0,23,8,1,0,28,16,1,0,14,4,6,17,0
0,18,13,0,0,35,19,0,0,6,10,4,13,0
0,32,16,1,0,39,10,2,0,17,11,7,15,0
1,30,9,1,0,28,11,0,0,13,3,5,12,1
1,26,14,0,0,30,6,3,0,9,7,5,9,0
1,36,22,1,0,30,34,2,0,15,5,3,11,0
1,32,33,1,0,36,21,1,0,10,4,9,13,1
1,34,12,2,0,33,10,0,0,10,4,10,13,0
1,33,14,3,0,28,18,2,0,10,7,6,14,1
0,27,26,2,1,39,14,4,0,11,0,2,12,0
1,37,24,2,0,37,12,1,0,12,3,10,14,0
1,29,14,1,0,28,12,1,0,16,11,8,17,1
0,35,14,0,0,35,12,1,1,19,13,7,25,1
1,36,4,1,0,25,8,1,0,15,5,7,14,1
1,38,12,2,0,29,16,1,0,16,8,6,18,1
1,31,18,0,0,28,24,2,0,13,5,4,12,0
0,31,16,2,0,25,10,1,0,17,3,4,9,1
1,26,8,1,0,40,10,1,0,8,5,4,12,0
0,25,23,1,0,28,9,1,0,20,8,12,13,1
0,24,12,0,0,46,6,0,0,16,18,5,25,1
1,25,12,0,1,34,4,0,1,17,9,7,13,1
0,19,17,0,0,30,19,0,1,15,9,8,27,0
0,30,8,0,1,39,6,2,0,24,19,9,20,1
1,26,10,0,0,24,12,0,0,17,5,8,13,1
1,20,12,0,0,42,6,1,0,10,5,0,16,0
0,34,12,2,0,40,8,1,0,17,17,15,27,0
1,45,13,3,0,29,29,1,0,9,6,6,16,1
1,21,14,1,0,36,12,3,0,18,12,8,12,0
0,26,28,3,0,37,47,0,0,20,11,8,24,1
1,19,12,2,0,39,22,0,0,15,2,2,13,1
1,31,8,1,0,22,16,0,1,6,5,0,16,1
0,26,12,1,0,42,12,1,1,7,1,6,16,0
0,21,17,2,1,40,23,0,0,15,2,3,18,1
0,38,18,0,0,25,8,0,0,11,1,2,16,0
0,28,16,1,0,35,12,2,0,15,21,5,15,0
1,31,19,1,0,39,33,1,1,11,11,3,16,0
1,26,12,2,0,32,10,0,1,11,5,7,10,1
0,25,10,0,1,36,6,0,0,7,10,8,20,0
1,42,8,1,0,35,12,2,0,12,10,8,18,0
0,25,12,0,0,38,8,0,1,16,3,8,19,0
1,37,11,1,0,36,13,0,0,10,2,3,24,1
0,28,10,1,0,32,14,1,0,16,23,3,14,0
1,44,12,1,0,35,8,2,0,7,8,6,18,1
1,18,46,0,0,39,17,1,1,16,5,2,16,0
0,30,10,0,0,36,8,0,1,17,16,8,19,0
1,30,12,1,0,29,8,1,2,12,5,3,12,0
0,26,15,1,0,35,27,2,1,14,13,1,19,0
1,34,21,0,0,28,19,1,0,2,4,8,17,0
0,33,24,2,0,37,20,1,0,13,8,7,19,1
0,24,13,1,0,34,17,0,0,14,19,11,12,1
1,36,27,0,0,36,17,1,0,7,4,4,19,0
1,28,10,2,0,34,18,1,0,6,1,7,16,1
1,23,19,2,0,32,15,0,0,15,4,4,17,1
0,25,4,1,0,38,6,0,0,13,10,12,19,0
0,30,26,0,1,25,18,3,0,15,21,2,27,1
0,18,15,1,0,33,13,0,0,25,14,11,19,1
0,21,12,0,1,44,10,0,0,14,5,5,23,1
0,23,13,1,0,26,25,1,0,12,9,5,17,1
0,27,12,2,0,52,18,2,1,10,13,5,16,0
1,24,8,0,0,20,8,2,0,6,5,5,15,0
1,37,12,1,0,55,10,1,1,8,3,5,18,0
1,36,10,0,0,32,12,0,0,7,5,4,20,1
0,30,8,0,1,27,6,0,0,20,5,13,19,1
1,21,6,0,0,30,10,0,0,6,7,5,14,0
1,30,22,0,0,32,16,0,0,14,7,3,17,0
0,27,13,0,0,29,15,0,1,13,11,6,13,0
0,25,15,2,0,38,21,1,0,20,7,2,27,1
1,39,17,3,0,34,23,1,1,8,4,6,14,1
0,30,41,0,0,39,29,4,0,13,9,6,18,0
0,30,8,0,0,32,2,0,0,11,11,10,22,0
1,35,16,0,0,30,10,3,0,12,6,6,22,0
1,41,10,0,0,36,19,0,0,13,5,4,20,0
0,29,16,0,0,28,14,3,1,7,7,1,10,0
0,17,14,1,0,34,10,1,0,14,13,12,21,1
1,33,10,0,0,26,4,1,0,8,4,3,19,0
1,27,24,1,0,40,16,0,0,9,4,3,17,0
0,18,10,1,0,24,6,1,0,16,7,8,15,0
0,29,23,0,0,30,17,1,0,12,14,21,18,0
0,22,12,1,0,33,12,1,0,13,12,1,18,0
1,32,12,1,0,28,16,1,0,9,6,2,19,0
