,GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
,1,2006-10-06,@,Florida Panthers,3,8,L,,0,1,0,L 1,,37,19,1,0,,38,23,4,0,
,2,2006-10-07,@,Tampa Bay Lightning,3,2,W,,1,1,0,W 1,,25,12,0,0,,31,8,0,0,
,3,2006-10-11,@,Atlanta Thrashers,1,4,L,,1,2,0,L 1,,23,8,1,0,,28,16,1,0,
,4,2006-10-12,@,St. Louis Blues,2,3,L,SO,1,2,1,L 2,,18,13,0,0,,35,19,0,0,
,5,2006-10-14,@,New York Islanders,1,4,L,,1,3,1,L 3,,32,16,1,0,,39,10,2,0,
,6,2006-10-19,,Calgary Flames,3,2,W,,2,3,1,W 1,,30,9,1,0,,28,11,0,0,
,7,2006-10-21,,Buffalo Sabres,2,6,L,,2,4,1,L 1,,26,14,0,0,,30,6,3,0,
,8,2006-10-26,,Montreal Canadiens,2,3,L,,2,5,1,L 2,,36,22,1,0,,30,34,2,0,
,9,2006-10-28,,Ottawa Senators,2,1,W,,3,5,1,W 1,,32,33,1,0,,36,21,1,0,
,10,2006-11-02,,Buffalo Sabres,4,5,L,SO,3,5,2,L 1,,34,12,2,0,,33,10,0,0,
,11,2006-11-04,,Tampa Bay Lightning,6,5,W,OT,4,5,2,W 1,,33,14,3,0,,28,18,2,0,
,12,2006-11-06,@,Atlanta Thrashers,3,5,L,,4,6,2,L 1,,27,26,2,1,,39,14,4,0,
,13,2006-11-09,,Toronto Maple Leafs,4,6,L,,4,7,2,L 2,,37,24,2,0,,37,12,1,0,
,14,2006-11-11,,Ottawa Senators,4,3,W,,5,7,2,W 1,,29,14,1,0,,28,12,1,0,
,15,2006-11-15,@,Washington Capitals,3,2,W,SO,6,7,2,W 2,,35,14,0,0,,35,12,1,1,
,16,2006-11-16,,Toronto Maple Leafs,2,1,W,OT,7,7,2,W 3,,36,4,1,0,,25,8,1,0,
,17,2006-11-18,,Washington Capitals,3,2,W,OT,8,7,2,W 4,,38,12,2,0,,29,16,1,0,
,18,2006-11-20,,Florida Panthers,2,3,L,,8,8,2,L 1,,31,18,0,0,,28,24,2,0,
,19,2006-11-22,@,Pittsburgh Penguins,4,3,W,SO,9,8,2,W 1,,31,16,2,0,,25,10,1,0,
,20,2006-11-24,,Carolina Hurricanes,1,5,L,,9,9,2,L 1,,26,8,1,0,,40,10,1,0,
,21,2006-11-25,@,Toronto Maple Leafs,3,1,W,,10,9,2,W 1,,25,23,1,0,,28,9,1,0,
,22,2006-11-28,@,Toronto Maple Leafs,4,1,W,,11,9,2,W 2,,24,12,0,0,,46,6,0,0,
,23,2006-11-30,,Tampa Bay Lightning,4,3,W,SO,12,9,2,W 3,,25,12,0,1,,34,4,0,1,
,24,2006-12-02,@,Carolina Hurricanes,2,5,L,,12,10,2,L 1,,19,17,0,0,,30,19,0,1,
,25,2006-12-04,@,Montreal Canadiens,6,5,W,,13,10,2,W 1,,30,8,0,1,,39,6,2,0,
,26,2006-12-07,,Toronto Maple Leafs,3,1,W,,14,10,2,W 2,,26,10,0,0,,24,12,0,0,
,27,2006-12-09,,New Jersey Devils,1,5,L,,14,11,2,L 1,,20,12,0,0,,42,6,1,0,
,28,2006-12-12,@,Montreal Canadiens,3,4,L,,14,12,2,L 2,,34,12,2,0,,40,8,1,0,
,29,2006-12-14,,New Jersey Devils,5,3,W,,15,12,2,W 1,,45,13,3,0,,29,29,1,0,
,30,2006-12-16,,Florida Panthers,3,6,L,,15,13,2,L 1,,21,14,1,0,,36,12,3,0,
,31,2006-12-19,@,Ottawa Senators,7,2,W,,16,13,2,W 1,,26,28,3,0,,37,47,0,0,
,32,2006-12-21,,Vancouver Canucks,2,0,W,,17,13,2,W 2,,19,12,2,0,,39,22,0,0,
,33,2006-12-23,,Montreal Canadiens,4,2,W,,18,13,2,W 3,,31,8,1,0,,22,16,0,1,
,34,2006-12-26,@,Columbus Blue Jackets,4,5,L,OT,18,13,3,L 1,,26,12,1,0,,42,12,1,1,
,35,2006-12-29,@,Chicago Blackhawks,5,3,W,,19,13,3,W 1,,21,17,2,1,,40,23,0,0,
,36,2006-12-30,@,Nashville Predators,0,5,L,,19,14,3,L 1,,38,18,0,0,,25,8,0,0,
