,GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
,37,2007-01-01,@,Toronto Maple Leafs,1,5,L,,19,15,3,L 2,,28,16,1,0,,35,12,2,0,
,38,2007-01-04,,Toronto Maple Leafs,2,10,L,,19,16,3,L 3,,31,19,1,0,,39,33,1,1,
,39,2007-01-06,,Philadelphia Flyers,4,3,W,,20,16,3,W 1,,26,12,2,0,,32,10,0,1,
,40,2007-01-09,@,Ottawa Senators,2,5,L,,20,17,3,L 1,,25,10,0,1,,36,6,0,0,
,41,2007-01-11,,New York Islanders,4,5,L,SO,20,17,4,L 2,,42,8,1,0,,35,12,2,0,
,42,2007-01-13,@,New York Rangers,1,3,L,,20,18,4,L 3,,25,12,0,0,,38,8,0,1,
,43,2007-01-15,,Buffalo Sabres,3,2,W,SO,21,18,4,W 1,,37,11,1,0,,36,13,0,0,
,44,2007-01-17,@,Buffalo Sabres,3,6,L,,21,19,4,L 1,,28,10,1,0,,32,14,1,0,
,45,2007-01-18,,Pittsburgh Penguins,5,4,W,SO,22,19,4,W 1,,44,12,1,0,,35,8,2,0,
,46,2007-01-20,,Ottawa Senators,0,3,L,,22,20,4,L 1,,18,46,0,0,,39,17,1,1,
,47,2007-01-27,@,Ottawa Senators,1,3,L,,22,21,4,L 2,,30,10,0,0,,36,8,0,1,
,48,2007-01-29,,New York Rangers,1,6,L,,22,22,4,L 3,,30,12,1,0,,29,8,1,2,
,49,2007-01-30,@,Buffalo Sabres,1,7,L,,22,23,4,L 4,,26,15,1,0,,35,27,2,1,
,50,2007-02-01,,Buffalo Sabres,1,3,L,,22,24,4,L 5,,34,21,0,0,,28,19,1,0,
,51,2007-02-03,@,Carolina Hurricanes,4,3,W,OT,23,24,4,W 1,,33,24,2,0,,37,20,1,0,
,52,2007-02-06,@,Washington Capitals,3,2,W,SO,24,24,4,W 2,,24,13,1,0,,34,17,0,0,
,53,2007-02-08,,Carolina Hurricanes,2,5,L,,24,25,4,L 1,,36,27,0,0,,36,17,1,0,
,54,2007-02-10,,New York Islanders,4,3,W,SO,25,25,4,W 1,,28,10,2,0,,34,18,1,0,
,55,2007-02-13,,Edmonton Oilers,3,0,W,,26,25,4,W 2,,23,19,2,0,,32,15,0,0,
,56,2007-02-15,@,New York Islanders,1,4,L,,26,26,4,L 1,,25,4,1,0,,38,6,0,0,
,57,2007-02-17,@,Buffalo Sabres,4,3,W,SO,27,26,4,W 1,,30,26,0,1,,25,18,3,0,
,58,2007-02-19,@,Philadelphia Flyers,6,3,W,,28,26,4,W 2,,18,15,1,0,,33,13,0,0,
,59,2007-02-20,@,Toronto Maple Leafs,3,0,W,,29,26,4,W 3,,21,12,0,1,,44,10,0,0,
,60,2007-02-23,@,Tampa Bay Lightning,6,2,W,,30,26,4,W 4,,23,13,1,0,,26,25,1,0,
,61,2007-02-24,@,Florida Panthers,2,7,L,,30,27,4,L 1,,27,12,2,0,,52,18,2,1,
,62,2007-02-26,,Atlanta Thrashers,2,3,L,,30,28,4,L 2,,24,8,0,0,,20,8,2,0,
,63,2007-03-01,,Philadelphia Flyers,3,4,L,OT,30,28,5,L 3,,37,12,1,0,,55,10,1,1,
,64,2007-03-03,,Montreal Canadiens,3,1,W,,31,28,5,W 1,,36,10,0,0,,32,12,0,0,
,65,2007-03-04,@,New Jersey Devils,4,1,W,,32,28,5,W 2,,30,8,0,1,,27,6,0,0,
,66,2007-03-06,,Colorado Avalanche,0,2,L,,32,29,5,L 1,,21,6,0,0,,30,10,0,0,
,67,2007-03-08,,Minnesota Wild,1,2,L,,32,30,5,L 2,,30,22,0,0,,32,16,0,0,
,68,2007-03-10,@,Philadelphia Flyers,1,4,L,,32,31,5,L 3,,27,13,0,0,,29,15,0,1,
,69,2007-03-11,@,Detroit Red Wings,6,3,W,,33,31,5,W 1,,25,15,2,0,,38,21,1,0,
,70,2007-03-15,,Washington Capitals,4,3,W,SO,34,31,5,W 2,,39,17,3,0,,34,23,1,1,
,71,2007-03-17,@,New York Rangers,0,7,L,,34,32,5,L 1,,30,41,0,0,,39,29,4,0,
,72,2007-03-20,@,Montreal Canadiens,0,1,L,,34,33,5,L 2,,30,8,0,0,,32,2,0,0,
,73,2007-03-22,,Montreal Canadiens,3,6,L,,34,34,5,L 3,,35,16,0,0,,30,10,3,0,
,74,2007-03-24,,New York Rangers,1,2,L,SO,34,34,6,L 4,,41,10,0,0,,36,19,0,0,
,75,2007-03-25,@,Pittsburgh Penguins,0,5,L,,34,35,6,L 5,,29,16,0,0,,28,14,3,1,
,76,2007-03-27,@,Ottawa Senators,3,2,W,,35,35,6,W 1,,17,14,1,0,,34,10,1,0,
,77,2007-03-29,,Pittsburgh Penguins,2,4,L,,35,36,6,L 1,,33,10,0,0,,26,4,1,0,
,78,2007-03-31,,Atlanta Thrashers,2,3,L,,35,37,6,L 2,,27,24,1,0,,40,16,0,0,
,79,2007-04-01,@,New Jersey Devils,1,3,L,,35,38,6,L 3,,18,10,1,0,,24,6,1,0,
,80,2007-04-03,@,Montreal Canadiens,0,2,L,,35,39,6,L 4,,29,23,0,0,,30,17,1,0,
,81,2007-04-05,@,Buffalo Sabres,2,4,L,,35,40,6,L 5,,22,12,1,0,,33,12,1,0,
,82,2007-04-07,,Ottawa Senators,3,6,L,,35,41,6,L 6,,32,12,1,0,,28,16,1,0,
