Opponent,HOME/AWAY,WIN/LOSS,SF,PIMF,PPGF,SHGF,SA,PIMA,PPGA,SHGA
Florida Panthers,@,L,37,19,1,0,38,23,4,0
Tampa Bay Lightning,@,W,25,12,0,0,31,8,0,0
Atlanta Thrashers,@,L,23,8,1,0,28,16,1,0
St. Louis Blues,@,L,18,13,0,0,35,19,0,0
New York Islanders,@,L,32,16,1,0,39,10,2,0
Calgary Flames,,W,30,9,1,0,28,11,0,0
Buffalo Sabres,,L,26,14,0,0,30,6,3,0
Montreal Canadiens,,L,36,22,1,0,30,34,2,0
Ottawa Senators,,W,32,33,1,0,36,21,1,0
Buffalo Sabres,,L,34,12,2,0,33,10,0,0
Tampa Bay Lightning,,W,33,14,3,0,28,18,2,0
Atlanta Thrashers,@,L,27,26,2,1,39,14,4,0
Toronto Maple Leafs,,L,37,24,2,0,37,12,1,0
Ottawa Senators,,W,29,14,1,0,28,12,1,0
Washington Capitals,@,W,35,14,0,0,35,12,1,1
Toronto Maple Leafs,,W,36,4,1,0,25,8,1,0
Washington Capitals,,W,38,12,2,0,29,16,1,0
Florida Panthers,,L,31,18,0,0,28,24,2,0
Pittsburgh Penguins,@,W,31,16,2,0,25,10,1,0
Carolina Hurricanes,,L,26,8,1,0,40,10,1,0
Toronto Maple Leafs,@,W,25,23,1,0,28,9,1,0
Toronto Maple Leafs,@,W,24,12,0,0,46,6,0,0
Tampa Bay Lightning,,W,25,12,0,1,34,4,0,1
Carolina Hurricanes,@,L,19,17,0,0,30,19,0,1
Montreal Canadiens,@,W,30,8,0,1,39,6,2,0
Toronto Maple Leafs,,W,26,10,0,0,24,12,0,0
New Jersey Devils,,L,20,12,0,0,42,6,1,0
Montreal Canadiens,@,L,34,12,2,0,40,8,1,0
New Jersey Devils,,W,45,13,3,0,29,29,1,0
Florida Panthers,,L,21,14,1,0,36,12,3,0
Ottawa Senators,@,W,26,28,3,0,37,47,0,0
Vancouver Canucks,,W,19,12,2,0,39,22,0,0
Montreal Canadiens,,W,31,8,1,0,22,16,0,1
Columbus Blue Jackets,@,L,26,12,1,0,42,12,1,1
Chicago Blackhawks,@,W,21,17,2,1,40,23,0,0
Nashville Predators,@,L,38,18,0,0,25,8,0,0
Toronto Maple Leafs,@,L,28,16,1,0,35,12,2,0
Toronto Maple Leafs,,L,31,19,1,0,39,33,1,1
Philadelphia Flyers,,W,26,12,2,0,32,10,0,1
Ottawa Senators,@,L,25,10,0,1,36,6,0,0
New York Islanders,,L,42,8,1,0,35,12,2,0
New York Rangers,@,L,25,12,0,0,38,8,0,1
Buffalo Sabres,,W,37,11,1,0,36,13,0,0
Buffalo Sabres,@,L,28,10,1,0,32,14,1,0
Pittsburgh Penguins,,W,44,12,1,0,35,8,2,0
Ottawa Senators,,L,18,46,0,0,39,17,1,1
Ottawa Senators,@,L,30,10,0,0,36,8,0,1
New York Rangers,,L,30,12,1,0,29,8,1,2
Buffalo Sabres,@,L,26,15,1,0,35,27,2,1
Buffalo Sabres,,L,34,21,0,0,28,19,1,0
Carolina Hurricanes,@,W,33,24,2,0,37,20,1,0
Washington Capitals,@,W,24,13,1,0,34,17,0,0
Carolina Hurricanes,,L,36,27,0,0,36,17,1,0
New York Islanders,,W,28,10,2,0,34,18,1,0
Edmonton Oilers,,W,23,19,2,0,32,15,0,0
New York Islanders,@,L,25,4,1,0,38,6,0,0
Buffalo Sabres,@,W,30,26,0,1,25,18,3,0
Philadelphia Flyers,@,W,18,15,1,0,33,13,0,0
Toronto Maple Leafs,@,W,21,12,0,1,44,10,0,0
Tampa Bay Lightning,@,W,23,13,1,0,26,25,1,0
Florida Panthers,@,L,27,12,2,0,52,18,2,1
Atlanta Thrashers,,L,24,8,0,0,20,8,2,0
Philadelphia Flyers,,L,37,12,1,0,55,10,1,1
Montreal Canadiens,,W,36,10,0,0,32,12,0,0
New Jersey Devils,@,W,30,8,0,1,27,6,0,0
Colorado Avalanche,,L,21,6,0,0,30,10,0,0
Minnesota Wild,,L,30,22,0,0,32,16,0,0
Philadelphia Flyers,@,L,27,13,0,0,29,15,0,1
Detroit Red Wings,@,W,25,15,2,0,38,21,1,0
Washington Capitals,,W,39,17,3,0,34,23,1,1
New York Rangers,@,L,30,41,0,0,39,29,4,0
Montreal Canadiens,@,L,30,8,0,0,32,2,0,0
Montreal Canadiens,,L,35,16,0,0,30,10,3,0
New York Rangers,,L,41,10,0,0,36,19,0,0
Pittsburgh Penguins,@,L,29,16,0,0,28,14,3,1
Ottawa Senators,@,W,17,14,1,0,34,10,1,0
Pittsburgh Penguins,,L,33,10,0,0,26,4,1,0
Atlanta Thrashers,,L,27,24,1,0,40,16,0,0
New Jersey Devils,@,L,18,10,1,0,24,6,1,0
Montreal Canadiens,@,L,29,23,0,0,30,17,1,0
Buffalo Sabres,@,L,22,12,1,0,33,12,1,0
Ottawa Senators,,L,32,12,1,0,28,16,1,0
