loc,fowP,foL,foW,pkPctg,ppPctg,sf,sa,satp,ozf,dzf,spsv,hit,bks,tka,gva,wol
1,43.54,35,27,80,0,31,32,41.33,11,19,118.73,22,15,13,8,1
0,56.45,27,35,100,20,32,31,58.67,19,11,81.27,13,8,7,8,0
1,50.98,25,26,100,0,28,39,46.32,12,16,105.09,22,12,5,15,0
1,49.33,38,37,0,16.66,34,33,58.56,17,24,96.42,28,7,3,11,0
1,62.74,19,32,100,0,37,30,53.26,13,16,100,20,19,13,21,1
0,37.25,32,19,100,0,30,37,46.74,16,13,100,22,12,11,18,0
1,50.94,26,27,100,0,28,28,56.38,15,11,90.06,26,13,9,17,0
0,57.89,24,33,100,0,37,34,51.72,14,11,103.34,18,12,5,8,0
1,52.45,29,32,100,0,26,27,51.25,13,20,91.62,14,16,7,7,0
0,45.61,31,26,66.66,0,24,36,43.18,8,22,101.43,25,15,16,8,0
1,42.1,33,24,100,0,34,37,48.28,11,14,96.66,20,15,6,17,1
0,39.65,35,23,100,0,25,39,36.67,9,20,98.03,20,17,3,12,0
1,59.72,29,43,100,50,37,33,52,15,19,90.9,36,16,7,8,1
0,46.66,32,28,100,0,32,32,46.99,16,17,97.26,25,13,3,7,0
1,60.34,23,35,100,0,39,25,63.33,20,9,101.97,19,12,8,11,1
0,40.27,43,29,50,0,33,37,48,19,15,109.1,36,17,6,8,0
0,49.05,27,26,100,0,28,28,43.62,11,15,109.94,21,18,10,12,1
0,47.91,25,23,100,0,26,30,50.53,8,15,106.83,21,16,8,2,1
0,54.9,23,28,100,0,26,23,56.98,22,7,81.62,18,13,18,10,0
1,53.33,28,32,100,0,32,32,53.01,17,16,102.74,18,9,13,10,1
0,42.85,36,27,66.66,25,26,31,57.14,23,12,95.46,14,11,1,2,0
0,47.54,32,29,100,0,27,26,48.75,20,13,108.38,14,11,3,0,1
1,57.14,27,36,75,33.33,31,26,42.86,12,23,104.54,16,15,4,2,1
1,45.09,28,23,100,0,23,26,43.02,7,22,118.38,14,15,12,4,1
1,52.08,23,25,100,0,30,26,49.47,15,8,93.17,22,19,6,5,0
1,54.38,26,31,100,33.33,36,24,56.82,22,8,98.57,27,12,15,7,1
1,63.15,21,36,50,0,29,23,55.42,18,11,90,28,10,5,13,0
0,25,45,15,75,0,22,38,33.73,9,22,99.82,24,13,10,3,0
1,65.75,25,48,83.33,0,32,37,45.78,16,18,101.56,11,16,20,24,0
0,49.23,33,32,0,0,40,29,62.04,25,17,91.75,19,7,11,8,0
1,44.11,38,30,100,0,31,34,53.77,25,14,96.56,23,13,4,11,0
0,50,32,32,100,0,22,31,25.81,6,18,91.3,17,19,3,5,0
1,60.86,27,42,75,25,28,32,52,9,24,104.97,23,18,5,15,1
0,36.84,36,21,100,50,23,29,44.58,11,18,110,20,13,9,4,1
1,50,32,32,100,0,31,22,74.19,18,6,108.7,17,11,8,8,1
1,61.01,23,36,100,0,38,38,52.43,11,18,103.57,14,12,12,20,1
1,75,15,45,100,25,38,22,66.27,22,9,100.18,24,8,17,8,1
0,38.98,36,23,100,0,38,38,47.57,18,11,96.43,13,14,10,15,0
0,56.52,30,39,66.66,0,31,36,48.48,15,19,104.17,9,14,5,3,0
0,55.88,30,38,100,0,34,31,46.23,14,25,103.44,17,20,5,2,1
1,54.54,25,30,100,20,31,28,52.33,10,14,105.26,22,21,7,7,1
0,34.24,48,25,100,16.66,37,32,54.22,18,16,98.44,9,14,8,14,1
0,39.13,42,27,75,25,32,28,48,24,9,95.03,22,17,7,4,0
1,50.76,32,33,100,100,29,40,37.96,17,25,108.25,21,28,12,6,1
1,43.47,39,30,100,33.33,36,31,51.52,19,15,95.83,14,15,9,2,1
0,45.45,30,25,80,0,28,31,47.67,14,10,94.74,35,16,7,8,0
1,50.94,26,27,57.14,0,34,28,48.94,10,12,90.48,21,11,5,4,0
0,49.05,27,26,100,42.85,28,34,51.06,12,10,109.52,15,25,5,5,1
0,56.92,28,37,66.66,50,30,35,47.62,21,13,92.59,34,16,12,20,0
0,49.05,27,26,100,0,26,28,55.32,20,9,88,34,10,8,6,0
1,50.94,26,27,100,0,28,26,44.68,9,20,112,20,25,20,9,1
1,43.07,37,28,50,33.33,35,30,52.38,13,21,107.41,33,21,13,10,1
0,38.7,38,24,50,0,31,26,50.53,23,21,95.65,27,16,15,12,0
1,61.29,24,38,100,50,26,31,49.47,21,23,104.35,22,12,14,7,1
1,55.93,26,33,100,33.33,29,40,38.38,12,22,111.11,30,16,6,14,1
0,44.06,33,26,66.66,0,40,29,61.62,22,12,88.89,26,8,4,14,0
1,36.11,46,26,80,0,34,31,48.65,17,16,107,23,7,17,13,1
0,63.88,26,46,100,20,31,34,51.35,16,17,93,9,12,10,9,0
0,47.69,34,31,100,20,35,37,45.35,12,23,93.33,17,10,4,9,0
1,43.13,29,22,100,50,27,17,39.53,13,14,86.67,33,19,7,5,1
0,51.61,30,32,66.66,0,35,23,50.5,15,17,103.83,5,21,10,12,1
1,52.3,31,34,80,0,37,35,54.65,23,12,106.67,21,14,3,7,1
0,56.86,22,29,50,0,17,27,60.47,14,13,113.33,17,13,1,4,0
1,48.38,32,30,100,33.33,23,35,49.5,17,15,96.17,25,7,7,15,0
0,49.05,27,26,100,0,32,27,50,11,21,99.17,20,22,2,11,0
1,51.72,28,30,100,60,32,40,53.54,15,13,92.74,12,10,11,6,1
1,61.66,23,37,100,33.33,22,24,38.39,8,22,115.79,24,29,4,8,1
1,50.94,26,27,100,0,27,32,50,21,11,100.83,25,12,2,11,1
0,38.33,37,23,66.66,0,24,22,61.61,22,8,84.21,19,19,3,7,0
1,53.44,27,31,66.66,0,38,21,72,13,12,101.33,21,3,9,6,1
0,48.27,30,28,40,0,40,32,46.46,13,15,107.26,27,15,4,8,0
0,46.55,31,27,100,33.33,21,38,28,12,13,98.67,16,20,7,8,0
1,46.26,36,31,100,0,33,38,51.76,22,14,100.59,26,13,8,9,1
1,46.05,41,35,100,66.66,26,40,46.32,16,23,103.86,38,17,5,14,0
0,50,28,28,100,0,36,35,49.02,17,12,96.45,31,18,6,10,0
1,63.79,21,37,66.66,0,29,32,59.26,16,12,94.17,20,6,7,9,0
0,56.75,32,42,60,25,32,41,37.5,14,18,105.56,29,14,8,3,0
1,43.24,42,32,75,40,41,32,62.5,18,14,94.44,33,10,7,9,1
1,50,28,28,100,0,35,36,50.98,12,17,103.55,25,12,9,17,1
0,36.2,37,21,100,33.33,32,29,40.74,12,16,105.83,8,12,5,4,1
1,42.59,31,23,100,25,48,28,61.05,15,8,89.59,12,9,15,8,1
0,53.73,31,36,100,0,38,33,48.24,14,22,99.41,28,20,9,20,0
0,57.4,23,31,75,0,28,48,38.95,8,15,110.41,23,14,7,13,0
0,53.94,35,41,33.33,0,40,26,53.68,23,16,96.14,29,17,7,9,1
1,56.52,30,39,33.33,100,31,28,61.39,21,16,105.24,22,15,5,9,1
0,43.47,39,30,0,66.66,28,31,38.61,16,21,94.76,21,26,6,6,0
0,49.25,34,33,100,25,22,33,49.38,20,11,89.47,6,20,9,8,0
1,50.74,33,34,75,0,33,22,50.62,11,20,110.53,13,16,11,9,1
1,46.66,32,28,100,50,37,41,42.16,12,26,105,25,13,10,3,1
0,53.33,28,32,50,0,41,37,57.84,26,12,95,25,8,7,1,0
0,50,28,28,75,0,28,36,42.39,12,10,109.96,24,21,1,9,1
1,62.06,22,36,100,0,36,33,49.52,18,15,96.3,25,17,7,10,0
1,50,28,28,100,25,36,28,57.61,10,12,90.04,19,15,2,10,0
0,37.93,36,22,100,0,33,36,50.48,15,18,103.7,13,14,2,5,1
1,53.84,24,28,75,50,32,40,52.22,13,9,92.03,27,12,3,12,0
0,50,39,39,100,0,26,41,48.48,19,26,105,30,16,5,7,1
1,50,25,25,100,0,32,40,42.86,13,17,110.77,12,16,7,9,1
0,53.62,32,37,66.66,20,36,34,48.31,14,20,103.27,20,14,7,8,1
0,50,25,25,100,0,40,32,57.14,17,13,89.23,21,6,11,9,0
1,46.37,37,32,80,33.33,34,36,51.69,20,14,96.73,26,10,7,9,0
1,50,39,39,0,0,41,26,51.52,26,19,95,32,12,5,7,0
0,47.61,33,30,20,50,38,36,47.75,15,19,103.45,15,19,5,11,0
1,48.43,33,31,0,66.66,37,22,43.75,20,13,81.11,26,18,9,16,0
1,45.83,39,33,33.33,66.66,39,32,57.45,18,19,91.29,27,11,3,6,0
0,46.15,28,24,50,25,40,32,47.78,9,13,107.97,20,18,3,7,1
0,51.56,31,33,33.33,100,22,37,56.25,13,20,118.89,24,10,4,13,1
0,54.16,33,39,33.33,66.66,32,39,42.55,19,18,108.71,13,20,5,6,1
1,52.38,30,33,50,80,36,38,52.25,19,15,96.55,20,17,18,9,1
0,58.46,27,38,0,0,33,36,57.8,21,9,88.64,22,10,5,11,0
1,41.53,38,27,100,100,36,33,42.2,9,21,111.36,13,21,7,12,1
0,48,26,24,83.33,0,25,37,50,7,11,120,27,5,3,3,1
1,47.05,36,32,66.66,0,29,21,48.91,16,16,104.24,29,20,6,19,1
1,52,24,26,100,16.66,37,25,50,11,7,80,27,10,1,5,0
1,45.2,40,33,80,50,45,18,66.67,25,13,106.15,22,14,15,5,1
1,42.85,36,27,100,50,34,24,50,19,18,96.05,14,15,8,5,1
1,52.83,25,28,100,25,37,32,53.19,10,11,99.76,10,16,3,1,1
0,54.79,33,40,50,20,18,45,33.33,13,25,93.85,23,19,8,9,0
0,47.16,28,25,75,0,32,37,46.81,11,10,100.24,11,18,6,7,0
0,52.94,32,36,100,33.33,21,29,51.09,16,16,95.76,9,15,6,9,0
0,57.14,27,36,50,0,24,34,50,18,19,103.95,12,5,6,2,0
1,44.06,33,26,100,0,46,28,56.18,16,13,105.83,18,12,9,9,1
0,55.93,26,33,100,0,28,46,43.82,13,16,94.17,27,24,9,13,0
1,46.66,32,28,80,20,17,38,42.86,13,9,80.95,23,17,5,12,0
0,53.33,28,32,80,20,38,17,57.14,9,13,119.05,15,20,6,5,1
1,55.73,27,34,100,25,46,24,67.31,20,11,108.11,19,16,6,9,1
0,43.47,39,30,100,33.33,18,40,37.37,11,23,96.57,13,15,14,8,0
0,44.26,34,27,75,0,24,46,32.69,11,20,91.89,19,19,4,15,0
1,56.52,30,39,66.66,0,40,18,62.63,23,11,103.43,12,13,18,12,1
0,47.27,29,26,100,0,28,32,48,12,13,105,7,19,12,7,1
0,51.02,24,25,0,100,30,27,46.4,12,19,96.01,26,23,11,10,0
1,52.72,26,29,100,0,32,28,52,13,12,95,14,13,6,10,0
1,48.97,25,24,0,0,27,30,53.6,19,12,103.99,25,16,9,10,1
0,53.44,27,31,100,0,36,24,62.2,15,17,98.19,15,6,14,7,0
1,63.49,23,40,66.66,20,33,29,53.41,15,15,103.53,24,12,6,13,1
0,43.07,37,28,66.66,0,31,37,47.56,14,12,100.89,16,18,3,3,1
1,70.76,19,46,100,0,38,28,53.33,16,14,107.69,23,19,5,12,1
1,55.55,24,30,100,33.33,30,28,49.37,15,10,94.74,27,14,7,12,1
1,46.55,31,27,100,0,24,36,37.8,17,15,101.81,31,16,12,14,1
0,44.44,30,24,66.66,0,28,30,50.63,10,15,105.26,24,21,8,7,0
0,36.5,40,23,80,33.33,29,33,46.59,15,15,96.47,31,18,7,16,0
0,29.23,46,19,100,0,28,38,46.67,14,16,92.31,25,19,4,9,0
1,56.92,28,37,100,33.33,37,31,52.44,12,14,99.11,14,9,2,2,0
0,51.85,26,28,100,0,33,17,63.33,19,10,95.93,18,13,5,8,1
0,49.2,32,31,60,0,48,30,57.61,17,11,100,19,15,4,2,0
1,48.14,28,26,100,0,17,33,36.67,10,19,104.07,31,15,4,9,0
1,50.79,31,32,100,40,30,48,42.39,11,17,100,16,12,8,2,1
1,61.53,25,40,60,14.28,35,28,60,18,9,98.59,19,6,14,22,0
0,38.46,40,25,85.71,40,28,35,40,9,18,101.41,24,16,14,10,1
1,47.54,32,29,100,0,31,29,52.63,18,15,97.22,6,13,6,5,0
0,52.45,29,32,100,0,29,31,47.37,15,18,102.78,15,10,7,3,1
1,51.72,28,30,100,25,29,26,48.78,11,14,100,20,14,6,13,1
0,48.27,30,28,75,0,26,29,51.22,14,11,100,17,6,5,11,0
0,58,21,29,33.33,25,37,40,52.75,12,9,104.29,12,5,3,8,0
0,38.46,40,25,100,0,34,41,44.44,14,21,103.18,17,13,3,6,1
0,46.93,26,23,66.66,0,35,28,64.36,13,12,95.14,21,14,8,11,0
1,61.53,25,40,100,0,41,34,55.56,21,14,96.82,19,7,4,6,0
0,50.68,36,37,80,33.33,30,26,59.32,15,11,83.83,13,8,2,2,0
1,53.06,23,26,100,33.33,28,35,35.64,12,13,104.86,23,25,13,10,1
1,49.31,37,36,66.66,20,26,30,40.68,11,15,116.17,17,13,9,4,1
1,42,29,21,75,66.66,40,37,47.25,9,12,95.72,21,16,7,16,1
0,49.05,27,26,100,0,32,36,40.91,11,18,96.97,27,25,5,12,0
1,50.94,26,27,100,0,36,32,59.09,18,11,103.03,31,22,9,11,1
0,65.38,18,34,100,0,25,26,50,16,13,94.76,11,16,7,4,0
0,44.23,29,23,50,0,30,28,44.34,19,15,120,2,17,6,11,1
1,57.81,27,37,75,40,37,22,62.5,11,7,88.32,31,11,11,14,0
0,53.22,29,33,100,0,28,26,56.32,13,21,91.3,17,8,4,3,0
1,47.54,32,29,66.66,0,34,29,57.28,19,10,96.45,20,14,10,5,0
0,50,25,25,100,0,33,30,53.61,10,12,90.91,12,18,5,7,0
0,55.17,26,32,100,66.66,23,46,40.87,13,23,110,21,29,8,13,1
1,46.77,33,29,100,0,26,28,43.68,21,13,108.7,12,21,4,1,1
0,43.1,33,25,100,0,18,30,46.91,10,21,114.58,22,19,6,2,1
0,52.45,29,32,100,33.33,29,34,42.72,10,19,103.55,7,14,6,10,1
0,45.45,30,25,100,0,20,27,47.73,15,17,96.36,31,12,5,9,0
0,53.03,31,35,50,25,25,35,50.93,17,16,104.29,20,17,2,5,0
1,34.61,34,18,100,0,26,25,50,13,16,105.24,28,22,14,5,1
1,55.76,23,29,100,50,28,30,55.66,15,19,80,25,16,5,13,0
1,54.54,25,30,100,0,27,20,52.27,17,15,103.64,30,19,7,8,1
1,46.96,35,31,75,50,35,25,49.07,16,17,95.71,21,22,9,1,1
1,44.82,32,26,33.33,0,46,23,59.13,23,13,90,24,16,6,13,0
1,56.89,25,33,100,0,30,18,53.09,21,10,85.42,20,16,9,4,0
1,50,25,25,100,0,30,33,46.39,12,10,109.09,9,14,9,4,1
1,55.55,28,35,66.66,33.33,33,48,42.24,18,15,92.11,16,13,1,5,0
0,44.44,35,28,66.66,33.33,48,33,57.76,15,18,107.89,21,16,9,5,1
0,42.18,37,27,60,25,22,37,37.5,7,11,111.68,20,15,15,18,1
0,49.25,34,33,66.66,0,32,33,56.79,22,14,104,25,8,4,7,1
1,50.74,33,34,100,33.33,33,32,43.21,14,22,96,25,20,3,15,0
1,43.28,38,29,75,25,26,48,32.67,16,21,88.64,17,16,3,7,0
0,56.71,29,38,75,25,48,26,67.33,21,16,111.36,9,10,7,3,1
0,53.19,22,25,100,0,29,30,52.08,16,11,96.43,22,9,4,9,0
1,46.8,25,22,100,0,30,29,47.92,11,16,103.57,31,14,10,13,1
1,58.62,24,34,100,50,34,27,55.29,22,13,85.05,25,9,5,14,0
0,41.37,34,24,50,0,27,34,44.71,13,22,114.95,27,8,7,12,1
0,53.12,30,34,100,0,37,28,48.48,9,18,98.05,33,25,11,11,0
1,46.87,34,30,100,0,28,37,51.52,18,9,101.95,31,16,11,11,1
0,51.78,27,29,100,50,38,29,46.88,14,14,106.6,12,14,10,4,1
1,55.76,23,29,100,0,22,27,41.46,15,16,100.8,9,19,7,7,1
0,47.05,27,24,100,0,24,27,52,9,12,100,20,13,9,6,0
1,62.74,19,32,100,0,32,25,52.75,10,13,89.47,24,24,12,3,0
0,52.3,31,34,100,0,37,24,59.74,15,20,96.37,14,13,10,10,1
0,44.23,29,23,100,0,27,22,58.54,16,15,99.2,11,9,2,0,0
0,43.63,31,24,100,100,22,39,43,15,19,96.65,18,12,6,10,0
0,43.13,29,22,50,0,17,26,41.54,7,11,92.38,47,10,8,4,0
1,56.36,24,31,0,0,39,22,57,19,15,103.35,22,11,5,11,1
0,60.86,18,28,50,0,26,25,56.52,13,13,95.48,17,15,1,4,0
1,48.21,29,27,50,0,29,38,53.13,14,14,93.4,25,11,10,11,0
1,39.13,28,18,100,50,25,26,43.48,13,13,104.52,21,26,10,9,1
1,56.86,22,29,100,50,26,17,58.46,11,7,107.62,34,10,11,8,1
1,52.94,24,27,100,0,27,24,48,12,9,100,24,22,10,16,1
0,37.25,32,19,100,0,25,32,47.25,13,10,110.53,19,9,6,2,1
1,47.69,34,31,100,0,24,37,40.26,20,15,103.63,11,15,21,11,0
0,52.94,32,36,100,50,29,35,47.73,18,22,95.65,19,18,4,9,1
1,47.05,36,32,50,0,35,29,52.27,22,18,104.35,24,17,5,11,0
0,52.54,28,31,100,0,30,23,53.54,20,13,94.8,18,13,7,11,0
0,45.45,30,25,0,0,45,25,68.18,23,14,96.82,24,11,8,8,1
1,48.14,28,26,100,0,40,28,63.04,16,11,94.44,24,9,7,16,0
0,38.46,32,20,66.66,0,26,24,52.78,18,14,83.3,16,12,3,12,0
0,51.85,26,28,100,0,28,40,36.96,11,16,105.56,18,14,6,3,1
0,50,28,28,100,0,32,29,51.72,14,10,91.5,20,8,6,13,0
1,50,28,28,100,0,29,32,48.28,10,14,108.5,21,17,2,15,1
1,47.45,31,28,100,0,23,30,46.46,13,20,105.2,14,19,7,15,1
1,54.54,25,30,100,0,25,45,31.82,14,23,103.18,30,27,7,20,0
1,61.53,20,32,100,33.33,24,26,47.22,14,18,116.7,16,11,10,9,1
0,46.34,22,19,100,0,41,23,61,12,7,95.24,29,14,4,9,0
1,53.65,19,22,100,0,23,41,39,7,12,104.76,14,20,13,15,1
1,47.61,33,30,75,0,45,24,60.98,16,12,105.88,29,13,12,2,1
0,52.63,27,30,71.42,33.33,24,34,40,12,15,105.98,20,26,5,8,1
0,52.38,30,33,100,25,24,45,39.02,12,16,94.12,32,18,4,3,0
0,46.87,34,30,100,0,32,37,46.73,17,20,95,30,9,10,12,0
1,47.36,30,27,66.66,28.57,34,24,60,15,12,94.02,22,11,6,12,0
1,53.12,30,34,100,0,37,32,53.27,20,17,105,22,14,10,13,1
1,51.66,29,31,75,0,35,24,64.71,23,11,103.13,13,8,8,17,1
0,48.33,31,29,100,25,24,35,35.29,11,23,96.88,13,11,10,16,0
1,42.3,30,22,66.66,0,21,34,39.77,13,19,111.11,22,20,2,7,1
0,57.69,22,30,100,33.33,34,21,60.23,19,13,88.89,26,11,3,6,0
1,50.9,27,28,100,25,50,25,65.38,9,4,111.11,21,17,19,11,1
0,46.03,34,29,100,0,30,42,48.05,10,12,116.12,16,17,6,9,1
0,62.06,22,36,100,0,28,39,51.06,14,15,92.96,29,16,7,14,0
1,57.14,24,32,100,0,34,35,52.17,18,18,103.45,14,12,4,2,1
0,41.53,38,27,50,0,31,33,46.99,10,26,100.35,28,10,14,16,0
1,58.46,27,38,100,50,33,31,53.01,26,10,99.65,19,21,17,6,1
1,51.66,29,31,100,25,36,25,57.45,19,8,86.31,39,10,6,6,0
1,46.29,29,25,100,33.33,28,20,48.72,17,9,94.21,16,14,7,10,1
1,37.93,36,22,100,0,39,28,48.94,15,14,107.04,20,18,11,13,1
1,53.96,29,34,100,0,42,30,51.95,12,10,83.88,26,13,12,13,0
0,42.85,32,24,100,0,35,34,47.83,18,18,96.55,14,15,3,2,0
0,48.33,31,29,75,0,25,36,42.55,8,19,113.69,28,23,6,6,1
0,53.7,25,29,66.66,0,20,28,51.28,9,17,105.79,24,14,4,8,0
0,49.09,28,27,75,0,25,50,34.62,4,9,88.89,27,23,10,9,0
0,59.67,25,37,66.66,50,40,24,51.85,21,14,112.5,28,26,6,17,1
1,40.32,37,25,50,33.33,24,40,48.15,14,21,87.5,35,10,6,14,0
0,51.56,31,33,100,50,39,39,45.19,9,18,99.68,29,25,6,5,1
1,48.43,33,31,50,0,39,39,54.81,18,9,100.32,21,17,7,10,0
0,50,28,28,100,0,22,29,47.14,10,18,125.65,24,13,1,7,1
1,50,28,28,100,0,29,22,52.86,18,10,74.35,26,7,1,8,0
1,50,28,28,66.66,25,51,28,70.83,17,9,94.44,15,5,8,6,1
0,50,28,28,75,33.33,28,51,29.17,9,17,105.56,30,31,7,3,0
0,48.93,24,23,100,0,31,28,50,11,12,99.18,25,18,7,11,1
0,45.2,40,33,100,25,39,44,45.16,19,16,95.26,17,14,4,8,1
1,51.06,23,24,100,0,28,31,50,12,11,100.82,21,12,4,13,0
0,55.55,32,40,100,50,28,24,50,16,18,101.5,38,10,11,4,1
0,37.03,34,20,100,0,29,40,45.83,13,8,95.5,20,16,7,9,0
1,62.96,20,34,100,0,40,29,54.17,8,13,104.5,21,15,9,7,1
1,44.44,40,32,50,0,24,28,50,18,16,98.5,23,9,6,10,0
1,54.79,33,40,75,0,44,39,54.84,16,19,104.74,16,15,12,15,0
1,57.37,26,35,100,20,32,30,57.14,17,15,102.84,17,9,7,6,1
0,42.62,35,26,80,0,30,32,42.86,15,17,97.16,16,19,6,2,0
1,42,29,21,100,66.66,33,25,56.52,15,7,81.82,23,12,22,16,1
0,57.14,27,36,100,0,37,37,47.62,16,23,100.2,34,19,3,12,1
0,58,21,29,33.33,0,25,33,43.48,7,15,118.18,27,16,14,15,0
0,43.93,37,29,100,25,40,38,47.06,14,27,95.52,23,14,2,12,0
0,61.11,28,44,50,14.28,39,36,50.6,11,15,98.71,24,8,5,7,0
1,38.88,44,28,85.71,50,36,39,49.4,15,11,101.29,30,12,4,9,1
1,56.06,29,37,75,0,38,40,52.94,27,14,104.48,23,23,4,28,1
1,42.85,36,27,100,0,37,37,52.38,23,16,99.8,29,22,3,17,0
1,46.66,32,28,100,100,32,26,56.82,16,15,91.35,23,22,9,14,1
0,53.33,28,32,0,0,26,32,43.18,15,16,108.65,30,13,2,8,0
0,47.54,32,29,100,33.33,26,37,34.29,9,18,101.88,12,18,5,10,1
0,53.62,32,37,71.42,0,29,27,62.32,16,17,100,16,10,7,3,0
1,52.45,29,32,66.66,0,37,26,65.71,18,9,98.12,18,5,2,8,0
1,52.11,34,37,0,25,32,21,53.26,20,18,112.86,23,11,14,6,1
0,47.88,37,34,75,0,21,32,46.74,18,20,87.14,26,6,14,12,0
1,46.37,37,32,100,28.57,27,29,37.68,17,16,100,18,19,9,2,1
1,44.77,37,30,100,33.33,25,39,39.02,10,23,121.67,15,20,13,22,1
0,55.22,30,37,66.66,0,39,25,60.98,23,10,78.33,17,10,7,5,0
0,39.39,40,26,100,25,33,26,48.78,12,23,103.7,21,13,7,17,1
1,60.6,26,40,75,0,26,33,51.22,23,12,96.3,27,18,9,19,0
0,43.47,39,30,100,50,48,29,52.14,26,13,95.45,23,24,9,7,0
1,56.52,30,39,50,0,29,48,47.86,13,26,104.55,15,12,7,15,1
1,53.12,30,34,100,0,22,29,40,16,21,113.33,14,11,0,12,1
0,46.87,34,30,100,0,29,22,60,21,16,86.67,18,11,1,8,0
0,43.63,31,24,66.66,0,29,44,41.58,13,18,109.1,16,17,5,11,1
1,56.36,24,31,100,33.33,44,29,58.42,18,13,90.9,20,17,10,10,0
1,52.08,23,25,100,0,25,30,46.32,14,8,98.91,42,19,10,28,0
0,42.59,31,23,100,66.66,32,45,31.37,8,16,104.21,27,18,7,4,1
0,47.91,25,23,100,0,30,25,53.68,8,14,101.09,31,14,6,8,1
1,56.89,25,33,50,50,34,31,61.05,12,13,110.81,17,8,15,5,1
0,43.1,33,25,50,50,31,34,38.95,13,12,89.19,27,21,4,7,0
1,39.65,35,23,83.33,0,32,26,48.68,12,7,120.83,24,12,4,11,1
0,60.34,23,35,100,16.66,26,32,51.32,7,12,79.17,30,11,0,10,0
1,57.4,23,31,33.33,0,45,32,68.63,16,8,95.79,30,6,7,11,0
0,53.22,29,33,66.66,0,35,37,50,9,16,104.76,21,22,9,3,1
1,52.38,30,33,100,0,42,36,53.1,17,18,90.36,25,14,7,7,0
0,60.37,21,32,50,0,30,22,60.67,22,10,90.48,13,10,5,9,0
1,58.2,28,39,66.66,0,43,29,57.78,18,17,100.71,14,17,13,12,1
0,42.37,34,25,66.66,0,21,28,46.43,19,12,91.48,27,13,2,3,0
0,47.61,33,30,100,0,36,42,46.9,18,17,109.64,19,16,10,5,1
1,39.62,32,21,100,50,22,30,39.33,10,22,109.52,18,15,4,9,1
0,41.79,39,28,100,33.33,29,43,42.22,17,18,99.29,9,18,7,4,0
1,46.77,33,29,100,33.33,37,35,50,16,9,95.24,20,15,3,5,0
1,57.62,25,34,100,33.33,28,21,53.57,12,19,108.52,21,11,6,13,1
1,55.07,31,38,100,50,43,32,50.62,21,12,94.9,21,9,8,10,0
0,44.92,38,31,50,0,32,43,49.38,12,21,105.1,20,8,7,13,1
0,41.37,34,24,66.66,0,25,29,53.49,13,11,93.24,18,12,8,12,0
0,58.33,25,35,100,33.33,21,45,31.58,9,18,116.66,10,19,6,6,1
1,58.62,24,34,100,33.33,29,25,46.51,11,13,106.76,16,16,10,16,1
0,45.71,38,32,100,33.33,40,25,57.61,28,8,82.86,19,14,8,4,0
1,54.28,32,38,66.66,0,25,40,42.39,8,28,117.14,15,22,13,13,1
1,41.66,35,25,66.66,0,45,21,68.42,18,9,83.34,7,8,15,13,0
1,44.61,36,29,100,0,27,28,59.49,12,9,79.52,18,10,3,7,0
1,50,30,30,100,0,25,24,54.12,19,13,94.12,22,13,5,11,0
0,55.38,29,36,100,0,28,27,40.51,9,12,120.48,10,20,4,3,1
0,50,30,30,100,0,24,25,45.88,13,19,105.88,23,19,2,8,1
0,46.03,34,29,40,0,21,49,41.12,10,20,94.74,20,16,3,9,0
1,53.96,29,34,100,60,49,21,58.88,20,10,105.26,15,18,5,11,1
1,60.56,28,43,0,0,45,33,59.52,24,20,101.28,11,13,17,14,1
0,39.43,43,28,0,100,33,45,40.48,20,24,98.72,21,22,12,8,0
0,45.76,32,27,80,0,34,35,43.37,11,11,104.35,20,22,3,14,0
1,59.49,32,47,100,16.66,34,33,48.94,17,15,88.5,14,8,7,15,0
1,54.23,27,32,100,20,35,34,56.63,11,11,95.65,20,14,11,13,1
0,40.5,47,32,83.33,0,33,34,51.06,15,17,111.5,9,24,8,9,1
1,50.81,30,31,100,50,34,23,49.44,12,18,124.22,16,14,9,13,1
1,61.66,23,37,0,50,23,35,44.25,15,19,108.23,32,14,4,24,1
0,51.47,33,35,50,0,27,43,43.86,16,23,97.43,14,20,5,5,0
0,47.54,32,29,83.33,0,33,29,52.7,17,8,88.38,33,14,5,4,0
0,45.07,39,32,60,0,39,47,54.46,23,17,103.13,25,15,18,16,0
0,47.76,35,32,50,50,35,35,47.56,16,15,103.7,25,12,8,12,0
1,54.92,32,39,100,40,47,39,45.54,17,23,96.88,19,15,15,15,1
0,38.33,37,23,50,0,35,23,55.75,19,15,91.77,26,18,8,5,0
1,52.23,32,35,50,50,35,35,52.44,15,16,96.3,27,7,6,16,1
1,52.45,29,32,100,16.66,29,33,47.3,8,17,111.62,21,16,10,9,1
1,48.52,35,33,100,50,43,27,56.14,23,16,102.57,17,17,7,5,1
0,49.18,31,30,50,0,23,34,50.56,18,12,75.78,36,15,7,8,0
0,46.77,33,29,100,0,27,27,56.6,19,12,77.27,26,15,1,4,0
1,53.22,29,33,100,0,27,27,43.4,12,19,122.73,28,26,5,4,1
0,61.11,21,33,100,20,42,25,65.52,14,10,94.44,20,5,0,2,0
1,38.88,33,21,80,0,25,42,34.48,10,14,105.56,26,17,6,2,1
0,58.62,24,34,100,0,36,26,58,22,17,98.78,15,10,6,8,0
