epoch,acc,loss,val_acc,val_loss
0,0.74196308519740861,0.50663206239517899,0.90694789081885852,0.23110835266613838
1,0.90270138124923605,0.22266330141126506,0.94267990074441688,0.13560747448717403
2,0.92617039481725949,0.16560942993799754,0.93895781637717124,0.16090578092434207
3,0.93729372937293731,0.14631525268186024,0.93473945409429282,0.14513264646014409
4,0.93912724605793918,0.14226629089786869,0.92977667493796523,0.17210437965628575
5,0.94059405940594054,0.13237058572754168,0.93920595533498763,0.12180422982755881
6,0.94108299718860777,0.12938863087385777,0.94416873449131511,0.12623253495288461
7,0.94193863830827529,0.12447162320927958,0.86377171215880888,0.42567469192501622
8,0.93973841828627303,0.12109645389813881,0.94317617866004966,0.094523793059496333
9,0.94181640386260845,0.12039772835015758,0.9444168734491315,0.093949535727421124
10,0.93863830827527195,0.119341340379917,0.93945409429280402,0.10210697624450982
11,0.94230534164527568,0.1105227587800235,0.9397022332506203,0.092131425268460382
12,0.94585014056961247,0.10571856730493762,0.9419354838709677,0.10964100432041163
13,0.94426109277594428,0.10491524927321097,0.85632754342431761,0.47113529443509411
14,0.94585014056961247,0.10585270501129637,0.94243176178660049,0.085437882668767479
15,0.94230534164527568,0.10566446552227991,0.93945409429280402,0.093585193857374918
16,0.94193863830827529,0.10274217406793358,0.94069478908188586,0.10359124612003932
17,0.94450556166727784,0.10019121196114208,0.94243176178660049,0.087029617626911707
18,0.94413885833027744,0.099041355874809806,0.94764267990074447,0.082410809331760995
19,0.94254981053660924,0.09860403003416017,0.94466501240694789,0.082090814697865708
20,0.94291651387360953,0.098382628071158676,0.94119106699751864,0.086083743723938788
21,0.94157193497127489,0.095335850115539592,0.94342431761786605,0.083787190732615854
22,0.94206087275394201,0.093127255181407853,0.9421836228287841,0.082502173524213115
23,0.94426109277594428,0.092207092851357239,0.94392059553349872,0.083834561874491176
24,0.94132746607994133,0.09250064460875243,0.94342431761786605,0.084480886454088522
