gameID,tm,oppTm,wol,loc,ga,gf,fowP,foL,foW,pkPctg,ppPctg,sf,sa,satp,ozf,dzf,spsv,hit,bks,tka,gva
2010020686,BOS,CAR,1,0,2,3,49.23,33,32,80.0,33.33,28,45,38.14,10,17,101.56,19,28,9,4
2010020677,BOS,CAR,1,1,0,7,60.0,22,33,100.0,40.0,38,31,57.89,16,10,116.67,16,16,1,3
2010020660,BOS,PIT,0,1,3,2,53.84,24,28,100.0,0.0,46,36,57.14,12,15,96.59,25,7,0,16
2010020646,BOS,PHI,1,1,5,7,58.33,30,42,100.0,20.0,37,35,48.28,19,16,108.33,17,9,4,3
2010020632,BOS,OTT,1,1,0,6,59.32,24,35,100.0,0.0,39,31,50.0,14,18,118.18,14,7,4,5
2010020628,BOS,PIT,1,0,2,4,54.9,23,28,83.33,40.0,32,25,58.11,9,7,98.51,26,16,4,4
2010020614,BOS,MTL,0,0,3,2,43.28,38,29,66.66,0.0,29,42,42.06,16,17,108.0,30,18,8,5
2010020597,BOS,MIN,0,1,3,1,47.27,29,26,50.0,0.0,36,34,53.76,12,14,99.78,25,10,5,18
2010020581,BOS,TOR,1,0,1,2,41.26,37,26,100.0,0.0,33,37,53.28,17,16,103.51,7,18,8,13
2010020567,BOS,BUF,0,0,6,6,54.79,33,40,75.0,0.0,40,35,56.67,12,16,101.32,8,13,2,6
2010020552,BOS,ATL,0,0,2,2,53.84,30,35,60.0,0.0,44,32,68.22,22,9,106.25,15,23,5,3
2010020539,BOS,TBL,1,0,3,4,45.58,37,31,80.0,33.33,29,34,45.74,13,12,101.29,29,15,4,6
2010020532,BOS,FLA,1,0,2,2,48.07,27,25,100.0,0.0,42,34,55.56,14,11,99.31,34,17,5,3
2010020506,BOS,ATL,1,1,1,4,60.31,25,38,100.0,20.0,36,27,51.0,16,15,103.56,15,14,4,2
2010020488,BOS,ANA,0,1,3,0,53.84,24,28,100.0,0.0,45,25,68.64,19,12,89.47,18,10,2,7
2010020474,BOS,WSH,1,1,2,3,44.64,31,25,100.0,0.0,21,41,38.94,14,15,109.74,29,19,3,2
2010020463,BOS,MTL,0,0,4,3,46.66,32,28,100.0,25.0,37,41,52.38,14,12,97.16,22,14,1,5
2010020449,BOS,BUF,0,0,3,2,46.77,33,29,60.0,20.0,34,35,51.72,14,16,100.3,21,11,5,7
2010020425,BOS,PHI,0,1,2,1,58.06,26,36,100.0,0.0,36,33,55.1,14,13,98.94,30,17,4,9
2010020411,BOS,NYI,1,1,2,5,59.67,25,37,100.0,40.0,37,35,48.98,13,13,100.0,19,16,2,5
2010020401,BOS,BUF,1,1,2,3,55.35,25,31,100.0,25.0,36,30,48.98,6,19,100.92,16,14,14,13
2010020381,BOS,TOR,0,0,2,2,50.0,27,27,75.0,0.0,27,40,51.35,8,14,104.63,22,17,14,19
