GameID,teamAbbrev,SATP,OZF,DZF, SPSv 
2017021208,CBJ,0.5876,24,9, 0.84 
2017021205,STL,0.5222,12,19, 1.05 
2017021205,VGK,0.4778,19,12, 0.95 
2017021204,LAK,0.4273,18,16, 1.00 
2017021201,TBL,0.598,27,15, 0.98 
2017021200,TOR,0.5934,14,11, 1.11 
2017021202,CAR,0.5269,13,15, 1.06 
2017021202,WSH,0.4731,15,13, 0.94 
2017021201,NYR,0.402,15,27, 1.02 
2017021203,CHI,0.5175,20,14, 0.93 
2017021203,COL,0.4825,14,20, 1.07 
2017021200,NYI,0.4066,11,14, 0.89 
2017021204,ANA,0.5727,16,18, 1.00 
2017021193,FLA,0.4607,13,18, 0.97 
2017021196,WPG,0.5,16,20, 0.91 
2017021193,OTT,0.5393,18,13, 1.03 
2017021196,CHI,0.5,20,16, 1.09 
2017021199,LAK,0.5747,16,13, 0.95 
2017021199,ARI,0.4253,13,16, 1.05 
2017021192,PIT,0.5444,23,13, 1.03 
2017021197,CGY,0.6381,16,14, 0.86 
2017021191,BUF,0.4722,21,16, 0.83 
2017021195,MIN,0.4203,13,13, 0.97 
2017021198,EDM,0.5699,17,14, 0.96 
2017021194,NSH,0.4578,14,14, 1.05 
2017021190,TBL,0.5233,17,18, 1.01 
2017021191,DET,0.5278,16,21, 1.17 
2017021192,NJD,0.4556,13,23, 0.97 
2017021194,SJS,0.5422,14,14, 0.95 
2017021190,BOS,0.4767,18,17, 1.00 
2017021198,VAN,0.4301,14,17, 1.04 
2017021195,DAL,0.5797,13,13, 1.03 
2017021197,CBJ,0.3619,14,16, 1.14 
2017021187,NYR,0.4588,17,17, 1.00 
2017021188,PHI,0.453,8,11, 1.03 
2017021187,WSH,0.5412,17,17, 1.00 
2017021188,COL,0.547,11,8, 0.97 
2017021186,FLA,0.5041,15,23, 0.95 
2017021186,TOR,0.4959,23,15, 1.05 
2017021189,VGK,0.4719,14,17, 0.93 
2017021189,ARI,0.5281,17,14, 1.07 
2017021179,PIT,0.5385,17,14, 0.91 
2017021178,NYI,0.4324,12,16, 1.04 
2017021183,PHI,0.5684,20,9, 1.02 
2017021183,DAL,0.4316,9,20, 0.98 
2017021178,OTT,0.5676,16,12, 0.96 
2017021179,DET,0.4615,14,17, 1.09 
2017021184,EDM,0.4253,14,9, 0.73 
2017021177,CAR,0.4787,17,19, 1.04 
2017021185,ANA,0.4588,18,13, 0.93 
2017021177,NJD,0.5213,19,17, 0.96 
2017021180,STL,0.5567,19,18, 0.99 
2017021182,BOS,0.5181,11,18, 0.93 
2017021182,WPG,0.4819,18,11, 1.07 
2017021181,MIN,0.3836,18,14, 1.02 
2017021181,NSH,0.6164,14,18, 0.98 
2017021184,CBJ,0.5747,9,14, 1.27 
2017021185,VAN,0.5412,13,18, 1.07 
2017021180,SJS,0.4433,18,19, 1.01 
2017021170,WSH,0.4138,14,13, 1.00 
2017021172,DET,0.4615,10,13, 1.01 
2017021176,LAK,0.4744,8,17, 1.00 
2017021173,ARI,0.5443,14,15, 1.07 
2017021174,SJS,0.5752,15,11, 0.97 
2017021174,CHI,0.4248,11,15, 1.03 
2017021173,TBL,0.4557,15,14, 0.93 
2017021170,NYR,0.5862,13,14, 1.00 
2017021176,CGY,0.5256,17,8, 1.00 
2017021172,MTL,0.5385,13,10, 0.99 
2017021175,VGK,0.5287,13,12, 1.01 
2017021175,COL,0.4713,12,13, 0.99 
2017021168,BUF,0.3565,9,13, 1.08 
2017021169,FLA,0.5543,16,15, 1.07 
2017021171,OTT,0.382,11,21, 0.96 
2017021168,TOR,0.6435,13,9, 0.92 
2017021169,NYI,0.4457,15,16, 0.93 
2017021171,CAR,0.618,21,11, 1.04 
2017021167,ANA,0.5688,15,19, 0.98 
2017021167,EDM,0.4312,19,15, 1.02 
2017021166,MIN,0.4382,17,17, 1.01 
2017021166,BOS,0.5618,17,17, 0.99 
2017021164,DAL,0.64,14,10, 0.93 
2017021165,WPG,0.6392,20,16, 0.94 
2017021164,VAN,0.36,10,14, 1.07 
2017021165,NSH,0.3608,16,20, 1.06 
2017021163,PHI,0.5172,8,16, 0.98 
2017021163,PIT,0.4828,16,8, 1.02 
2017021162,LAK,0.5758,10,9, 0.96 
2017021162,EDM,0.4242,9,10, 1.04 
2017021158,CHI,0.5432,11,13, 1.00 
2017021156,FLA,0.5862,20,16, 1.04 
2017021161,NSH,0.5513,15,11, 0.92 
2017021155,CAR,0.5109,14,16, 1.14 
2017021155,OTT,0.4891,16,14, 0.86 
2017021157,NJD,0.4388,13,25, 1.07 
2017021159,NYR,0.44,9,22, 1.14 
2017021158,NYI,0.4568,13,11, 1.00 
2017021153,TOR,0.4369,13,22, 1.12 
2017021160,STL,0.4301,18,16, 1.05 
2017021161,MIN,0.4487,11,15, 1.08 
2017021154,MTL,0.4557,12,20, 1.03 
2017021153,DET,0.5631,22,13, 0.88 
2017021159,BUF,0.56,22,9, 0.86 
2017021157,TBL,0.5612,25,13, 0.93 
2017021156,ARI,0.4138,16,20, 0.96 
2017021160,CBJ,0.5699,16,18, 0.95 
2017021154,WSH,0.5443,20,12, 0.97 
2017021152,SJS,0.4673,15,19, 1.13 
2017021152,CGY,0.5327,19,15, 0.87 
2017021151,VGK,0.4896,16,13, 1.04 
2017021151,COL,0.5104,13,16, 0.96 
2017021150,DAL,0.4592,12,22, 0.96 
2017021150,BOS,0.5408,22,12, 1.04 
2017021147,PIT,0.633,31,17, 1.04 
2017021146,MTL,0.4,15,19, 1.05 
2017021149,WPG,0.7573,26,11, 0.97 
2017021148,VAN,0.4756,14,18, 0.92 
2017021147,NJD,0.367,17,31, 0.96 
2017021146,BUF,0.6,19,15, 0.95 
2017021148,STL,0.5244,18,14, 1.08 
2017021149,ANA,0.2427,11,26, 1.03 
2017021141,WSH,0.3908,19,14, 1.05 
2017021141,DET,0.6092,14,19, 0.95 
2017021143,VAN,0.3958,8,21, 1.17 
2017021140,OTT,0.4947,18,13, 0.87 
2017021140,EDM,0.5053,13,18, 1.13 
2017021143,CHI,0.6042,21,8, 0.83 
2017021138,ARI,0.4312,18,16, 0.95 
2017021136,NYI,0.5213,14,15, 0.97 
2017021145,VGK,0.4536,19,15, 1.01 
2017021144,COL,0.5,16,14, 0.84 
2017021137,PHI,0.4513,7,22, 1.00 
2017021144,LAK,0.5,14,16, 1.16 
2017021137,NYR,0.5487,22,7, 1.00 
2017021139,CBJ,0.4835,16,10, 1.07 
2017021145,SJS,0.5464,15,19, 0.99 
2017021138,CAR,0.5688,16,18, 1.05 
2017021142,TOR,0.4521,16,17, 1.09 
2017021142,NSH,0.5479,17,16, 0.91 
2017021139,FLA,0.5165,10,16, 0.93 
2017021136,TBL,0.4787,15,14, 1.03 
2017021135,ANA,0.3708,13,17, 1.25 
2017021135,CGY,0.6292,17,13, 0.75 
2017021134,STL,0.6173,13,9, 1.06 
2017021134,BOS,0.3827,9,13, 0.94 
2017021132,ARI,0.4516,18,14, 1.00 
2017021133,MTL,0.4519,15,24, 0.99 
2017021132,BUF,0.5484,14,18, 1.00 
2017021133,PIT,0.5481,24,15, 1.01 
2017021126,PHI,0.5758,14,16, 0.94 
2017021127,TBL,0.48,17,8, 1.12 
2017021129,COL,0.4194,18,24, 1.06 
2017021125,OTT,0.4961,27,16, 0.88 
2017021131,SJS,0.5273,18,18, 1.09 
2017021129,CHI,0.5806,24,18, 0.94 
2017021126,DET,0.4242,16,14, 1.06 
2017021127,TOR,0.52,8,17, 0.88 
2017021125,FLA,0.5039,16,27, 1.12 
2017021131,NJD,0.4727,18,18, 0.91 
2017021123,WSH,0.475,14,13, 0.97 
2017021122,CBJ,0.5248,10,17, 1.12 
2017021124,CAR,0.5114,17,8, 0.83 
2017021121,PIT,0.5657,19,12, 0.96 
2017021130,VAN,0.5526,10,14, 0.86 
2017021123,DAL,0.525,13,14, 1.03 
2017021122,NYR,0.4752,17,10, 0.88 
2017021128,LAK,0.3,11,22, 1.03 
2017021130,VGK,0.4474,14,10, 1.14 
2017021128,WPG,0.7,22,11, 0.97 
2017021121,NYI,0.4343,12,19, 1.04 
2017021124,EDM,0.4886,8,17, 1.17 
2017021118,MTL,0.3297,10,17, 0.94 
2017021118,FLA,0.6703,17,10, 1.06 
2017021116,CBJ,0.3733,18,11, 1.10 
2017021120,CGY,0.5378,10,13, 0.93 
2017021116,BOS,0.6267,11,18, 0.90 
2017021119,LAK,0.4688,11,13, 0.92 
2017021119,MIN,0.5313,13,11, 1.08 
2017021117,BUF,0.5,18,17, 0.88 
2017021117,NSH,0.5,17,18, 1.13 
2017021120,ARI,0.4622,13,10, 1.07 
2017021114,DAL,0.4535,10,19, 0.95 
2017021114,WPG,0.5465,19,10, 1.05 
2017021113,CHI,0.4688,15,21, 1.07 
2017021113,STL,0.5313,21,15, 0.93 
2017021115,NJD,0.3103,6,24, 0.98 
2017021115,ANA,0.6897,24,6, 1.02 
2017021111,CAR,0.5393,18,10, 1.09 
2017021110,EDM,0.3407,8,17, 1.02 
2017021112,PHI,0.5426,11,15, 1.02 
2017021111,NYI,0.4607,10,18, 0.91 
2017021112,WSH,0.4574,15,11, 0.98 
2017021110,TBL,0.6593,17,8, 0.98 
2017021109,VGK,0.4255,13,18, 1.08 
2017021108,COL,0.4688,23,15, 1.12 
2017021108,DET,0.5313,15,23, 0.88 
2017021109,CGY,0.5745,18,13, 0.92 
2017021102,TBL,0.5765,7,7, 0.95 
2017021107,SJS,0.4388,14,20, 1.12 
2017021107,VAN,0.5612,20,14, 0.88 
2017021102,BOS,0.4235,7,7, 1.05 
2017021104,CBJ,0.6224,15,7, 0.99 
2017021104,OTT,0.3776,7,15, 1.01 
2017021103,CAR,0.5446,15,13, 0.97 
2017021101,MTL,0.4341,18,18, 0.95 
2017021105,STL,0.5889,23,10, 0.95 
2017021105,NYR,0.4111,10,23, 1.05 
2017021101,TOR,0.5659,18,18, 1.05 
2017021103,PHI,0.4554,13,15, 1.03 
2017021106,MIN,0.3608,10,22, 1.02 
2017021106,ARI,0.6392,22,10, 0.98 
2017021099,FLA,0.4301,12,20, 1.00 
2017021099,EDM,0.5699,20,12, 1.00 
2017021098,BUF,0.4717,23,16, 1.06 
2017021100,NJD,0.4286,12,18, 1.11 
2017021100,LAK,0.5714,18,12, 0.89 
2017021098,CHI,0.5283,16,23, 0.94 
2017021093,DAL,0.5465,16,18, 1.00 
2017021093,OTT,0.4535,18,16, 1.00 
2017021097,VGK,0.5313,15,12, 0.92 
2017021097,MIN,0.4688,12,15, 1.08 
2017021096,DET,0.4937,9,15, 0.97 
2017021092,WSH,0.4937,9,8, 1.10 
2017021094,NSH,0.4474,10,13, 1.10 
2017021095,SJS,0.5,13,24, 1.13 
2017021094,COL,0.5526,13,10, 0.90 
2017021092,NYI,0.5063,8,9, 0.90 
2017021096,ANA,0.5063,15,9, 1.03 
2017021095,CGY,0.5,24,13, 0.87 
2017021086,PIT,0.602,26,8, 0.96 
2017021087,FLA,0.3793,13,22, 1.09 
2017021086,MTL,0.398,8,26, 1.04 
2017021087,BOS,0.6207,22,13, 0.91 
2017021091,DET,0.5395,10,14, 0.81 
2017021084,NYI,0.6279,21,10, 0.85 
