gameID,tm,oppTm,wol,loc,ga,gf,fowP,foL,foW,pkPctg,ppPctg,sf,sa,satp,ozf,dzf,spsv,hit,bks,tka,gva
2017021252,COL,SJS,0,0,4,2,45.76,32,27,50.0,100.0,25,36,51.72,14,22,98.33,23,18,4,6
2017021246,MTL,DET,1,0,3,4,40.0,36,24,100.0,0.0,28,26,63.16,22,15,97.62,19,8,2,6
2017021251,MIN,LAK,0,0,5,4,40.57,41,28,83.33,0.0,27,28,53.09,13,14,91.44,28,18,1,6
2017021251,LAK,MIN,1,1,4,5,59.42,28,41,100.0,16.66,28,27,46.91,14,13,108.56,22,13,1,18
2017021241,NJD,TOR,1,1,1,2,46.77,33,29,50.0,0.0,39,32,52.29,17,19,105.56,14,12,10,4
2017021244,NSH,WSH,1,0,3,4,55.38,29,36,60.0,100.0,29,32,52.48,11,18,104.53,27,16,8,12
2017021241,TOR,NJD,0,0,2,1,53.22,29,33,100.0,50.0,32,39,47.71,19,17,94.44,17,9,9,10
2017021250,ARI,VAN,0,0,4,3,40.0,33,22,66.66,0.0,19,40,39.58,12,20,109.38,14,22,14,3
2017021243,PHI,CAR,1,1,3,4,50.0,29,29,100.0,0.0,34,22,50.48,12,19,101.97,17,18,7,11
2017021249,EDM,VGK,1,1,3,4,47.16,28,25,100.0,33.33,33,33,50.0,11,13,99.6,18,7,8,19
2017021243,CAR,PHI,0,0,4,3,50.0,29,29,0.0,0.0,22,34,49.52,19,12,98.03,20,12,4,4
2017021245,CBJ,PIT,0,1,5,4,50.66,37,38,33.33,33.33,30,43,35.87,14,33,107.91,30,17,4,4
2017021242,NYR,NYI,0,0,2,1,50.0,23,23,100.0,25.0,35,22,52.87,15,8,89.47,14,10,5,13
2017021248,WPG,CGY,1,1,1,2,64.81,19,35,100.0,0.0,26,32,46.67,14,14,107.59,11,9,9,11
2017021244,WSH,NSH,0,1,4,3,44.61,36,29,0.0,40.0,32,29,47.52,18,11,95.47,24,19,12,14
2017021248,CGY,WPG,0,0,2,1,35.18,35,19,100.0,0.0,32,26,53.33,14,14,92.41,14,7,6,11
2017021245,PIT,CBJ,1,0,4,5,49.33,38,37,66.66,66.66,43,30,64.13,33,14,92.09,14,9,7,5
2017021249,VGK,EDM,0,0,4,3,52.83,25,28,66.66,0.0,33,33,50.0,13,11,100.4,15,7,8,11
2017021250,VAN,ARI,1,1,3,4,60.0,22,33,100.0,33.33,40,19,60.42,20,12,90.63,20,18,3,11
2017021242,NYI,NYR,1,1,1,2,50.0,23,23,75.0,0.0,22,35,47.13,8,15,110.53,26,17,7,13
2017021238,OTT,BUF,1,0,2,4,47.36,30,27,100.0,0.0,32,34,43.75,12,18,104.66,14,8,7,11
2017021238,BUF,OTT,0,1,4,2,52.63,27,30,100.0,0.0,34,32,56.25,18,12,95.34,18,5,0,11
2017021240,ANA,MIN,1,1,1,3,49.05,27,26,66.66,0.0,30,27,57.89,13,15,107.41,23,14,4,10
2017021239,CHI,STL,1,0,3,4,33.33,42,21,100.0,50.0,26,34,40.82,20,16,97.59,9,21,6,3
2017021240,MIN,ANA,0,0,3,1,50.94,26,27,100.0,33.33,27,30,42.11,15,13,92.59,20,14,3,5
2017021239,STL,CHI,0,1,4,3,66.66,21,42,50.0,0.0,34,26,59.18,16,20,102.41,23,16,9,4
2017021233,BOS,TBL,0,0,4,0,43.1,33,25,100.0,0.0,33,36,53.19,17,15,87.1,22,6,4,11
2017021234,FLA,NSH,1,1,1,2,45.33,41,34,0.0,0.0,33,46,44.19,20,28,103.92,22,18,19,15
2017021237,SJS,DAL,0,1,4,2,53.57,26,30,100.0,100.0,31,23,48.57,20,16,88.57,15,21,10,5
2017021232,MTL,WPG,0,1,5,4,59.32,24,35,50.0,20.0,40,32,59.09,17,15,96.96,27,9,8,14
2017021233,TBL,BOS,1,1,0,4,56.89,25,33,100.0,0.0,36,33,46.81,15,17,112.9,34,12,10,6
2017021234,NSH,FLA,0,0,2,1,54.66,34,41,100.0,0.0,46,33,55.81,28,20,96.08,11,13,7,4
2017021232,WPG,MTL,1,0,4,5,40.67,35,24,80.0,50.0,32,40,40.91,15,17,103.04,32,19,10,7
2017021237,DAL,SJS,1,0,2,4,46.42,30,26,0.0,0.0,23,31,51.43,16,20,111.43,27,15,5,7
2017021231,CBJ,DET,1,1,4,5,54.16,33,39,33.33,60.0,41,27,60.22,28,13,93.03,23,13,11,9
2017021230,PHI,NYI,0,0,5,4,50.87,28,29,66.66,100.0,31,37,47.0,15,11,96.58,18,16,5,12
2017021229,NJD,NYR,1,1,2,5,58.06,26,36,100.0,75.0,44,24,57.58,15,16,93.34,8,9,11,12
2017021230,NYI,PHI,1,1,4,5,49.12,29,28,0.0,33.33,37,31,53.0,11,15,103.42,18,13,8,10
2017021235,ARI,CGY,1,0,1,4,45.56,43,36,100.0,0.0,21,43,35.92,17,26,119.19,20,15,13,14
2017021235,CGY,ARI,0,1,4,1,54.43,36,43,100.0,0.0,43,21,64.08,26,17,80.81,20,12,3,14
2017021236,VAN,VGK,0,1,4,4,62.9,23,39,75.0,50.0,25,39,42.39,13,15,105.45,16,16,8,5
2017021231,DET,CBJ,0,0,5,4,45.83,39,33,40.0,66.66,27,41,39.78,13,28,106.97,13,14,10,5
2017021229,NYR,NJD,0,0,5,2,41.93,36,26,25.0,0.0,24,44,42.42,16,15,106.66,23,12,5,4
2017021236,VGK,VAN,1,0,4,4,37.09,39,23,50.0,25.0,39,25,57.61,15,13,94.55,18,15,8,5
2017021225,CAR,FLA,0,0,3,2,54.9,23,28,50.0,0.0,29,35,53.4,15,12,100.89,14,10,5,14
2017021224,WPG,OTT,1,0,5,6,57.14,27,36,60.0,33.33,40,37,47.27,12,15,102.19,24,19,6,4
2017021225,FLA,CAR,1,1,2,3,45.09,28,23,100.0,50.0,35,29,46.6,12,15,99.11,29,14,11,13
2017021228,COL,LAK,0,0,3,1,49.12,29,28,100.0,33.33,28,25,46.34,16,13,90.48,20,12,1,10
2017021224,OTT,WPG,0,1,6,5,42.85,36,27,66.66,40.0,37,40,52.73,15,12,97.81,22,13,8,12
2017021228,LAK,COL,1,1,1,3,50.87,28,29,66.66,0.0,25,28,53.66,13,16,109.52,45,18,3,17
2017021223,BUF,TOR,0,0,5,2,43.54,35,27,33.33,40.0,34,36,53.06,23,13,90.0,23,12,2,10
2017021223,TOR,BUF,1,1,2,5,56.45,27,35,60.0,66.66,36,34,46.94,13,23,110.0,32,15,12,15
2017021226,STL,WSH,0,1,4,2,56.06,29,37,50.0,0.0,36,34,56.36,21,16,96.45,16,13,12,6
2017021227,EDM,MIN,0,0,3,0,45.45,30,25,100.0,0.0,22,40,39.56,18,12,94.44,18,12,2,7
2017021227,MIN,EDM,1,1,0,3,54.54,25,30,100.0,0.0,40,22,60.44,12,18,105.56,12,9,10,4
2017021226,WSH,STL,1,0,2,4,43.93,37,29,100.0,50.0,34,36,43.64,16,21,103.55,13,25,6,5
2017021221,WSH,PIT,1,0,1,3,49.27,35,34,100.0,0.0,34,37,54.79,16,16,108.49,33,15,4,7
2017021221,PIT,WSH,0,1,3,1,50.72,34,35,100.0,0.0,37,34,45.21,16,16,91.51,30,12,6,12
2017021220,MTL,NJD,0,1,2,1,53.44,27,31,100.0,25.0,26,32,45.59,8,15,95.0,40,15,8,12
2017021220,NJD,MTL,1,0,1,2,46.55,31,27,75.0,0.0,32,26,54.41,15,8,105.0,18,17,3,10
2017021222,ANA,COL,1,1,3,4,61.84,29,47,75.0,0.0,42,31,58.04,30,14,102.27,28,15,5,10
2017021219,NSH,TBL,1,0,1,4,50.0,24,24,100.0,50.0,25,30,48.24,11,12,109.47,19,20,5,7
2017021219,TBL,NSH,0,1,4,1,50.0,24,24,50.0,0.0,30,25,51.76,12,11,90.53,19,12,5,8
2017021222,COL,ANA,0,0,4,3,38.15,47,29,100.0,25.0,31,42,41.96,14,30,97.73,19,21,5,9
2017021218,PHI,BOS,1,1,3,4,47.05,27,24,66.66,0.0,24,39,45.74,9,16,111.15,20,16,5,15
2017021218,BOS,PHI,0,0,4,3,52.94,24,27,100.0,33.33,39,24,54.26,16,9,88.85,14,20,8,9
2017021216,CGY,EDM,1,1,2,3,54.0,23,27,100.0,0.0,20,36,44.12,7,5,102.5,17,14,12,15
2017021216,EDM,CGY,0,0,3,2,46.0,27,23,100.0,0.0,36,20,55.88,5,7,97.5,14,9,9,10
2017021217,VGK,SJS,1,1,2,3,55.88,30,38,100.0,0.0,38,31,53.77,16,17,103.22,44,15,17,7
2017021217,SJS,VGK,0,0,3,2,44.11,38,30,100.0,0.0,31,38,46.23,17,16,96.78,22,23,8,9
2017021212,NYR,CAR,1,0,1,2,37.87,41,25,100.0,0.0,20,41,31.25,9,28,103.34,23,20,10,8
2017021214,MIN,DAL,0,0,4,1,46.87,34,30,100.0,33.33,34,36,57.43,20,10,92.31,14,7,2,9
2017021212,CAR,NYR,0,1,2,1,62.12,25,41,100.0,0.0,41,20,68.75,28,9,96.66,17,10,12,16
2017021214,DAL,MIN,1,1,1,4,53.12,30,34,66.66,0.0,36,34,42.57,10,20,107.69,24,14,7,11
2017021213,NSH,BUF,0,1,7,4,61.29,24,38,55.55,25.0,36,36,51.43,10,15,98.75,20,8,4,10
2017021211,PIT,MTL,1,1,2,5,64.91,20,37,0.0,60.0,33,26,47.73,17,10,103.78,30,16,8,9
2017021209,WPG,TOR,1,0,1,3,40.0,36,24,75.0,33.33,29,29,49.4,19,12,109.09,26,14,6,10
2017021210,NYI,NJD,0,0,4,3,57.14,30,40,50.0,50.0,30,35,49.4,22,16,101.66,13,6,9,0
2017021211,MTL,PIT,0,0,5,2,35.08,37,20,40.0,100.0,26,33,52.27,10,17,96.22,39,12,6,5
2017021213,BUF,NSH,1,0,4,7,38.7,38,24,75.0,44.44,36,36,48.57,15,10,101.25,12,10,5,8
2017021209,TOR,WPG,0,1,3,1,60.0,24,36,66.66,25.0,29,29,50.6,12,19,90.91,11,7,8,13
2017021210,NJD,NYI,1,1,3,4,42.85,40,30,50.0,50.0,35,30,50.6,16,22,98.34,31,12,19,11
2017021215,STL,ARI,0,0,6,0,52.11,34,37,50.0,0.0,34,33,59.43,21,19,85.19,26,10,9,7
2017021215,ARI,STL,1,1,0,6,47.88,37,34,100.0,50.0,33,34,40.57,19,21,114.81,32,20,3,6
2017021207,DET,OTT,1,1,0,2,52.63,27,30,100.0,0.0,27,31,53.52,12,13,109.09,13,14,3,11
2017021207,OTT,DET,0,0,2,0,47.36,30,27,100.0,0.0,31,27,46.48,13,12,90.91,14,11,1,8
2017021208,CBJ,VAN,0,0,5,4,58.2,28,39,100.0,66.66,30,29,58.76,24,9,84.0,17,7,5,3
2017021206,BOS,FLA,1,1,1,5,49.33,38,37,100.0,100.0,33,31,52.08,25,19,109.45,15,6,8,6
2017021208,VAN,CBJ,1,1,4,5,41.79,39,28,33.33,0.0,29,30,41.24,9,24,116.0,25,20,8,8
2017021206,FLA,BOS,0,0,5,1,50.66,37,38,0.0,0.0,31,33,47.92,19,25,90.55,29,8,12,13
2017021205,STL,VGK,0,0,4,3,59.61,21,31,100.0,0.0,24,26,52.22,12,19,105.31,44,16,9,7
2017021205,VGK,STL,1,1,3,4,40.38,31,21,100.0,0.0,26,24,47.78,19,12,94.69,44,19,12,18
2017021203,CHI,COL,0,0,5,0,52.83,25,28,0.0,0.0,33,36,51.75,20,14,93.33,20,20,5,3
2017021204,LAK,ANA,0,0,2,1,38.46,32,20,100.0,0.0,29,33,42.73,18,16,100.13,22,18,8,10
2017021201,TBL,NYR,1,0,3,7,56.94,31,41,100.0,50.0,50,31,59.8,27,15,98.41,19,11,9,16
2017021201,NYR,TBL,0,1,7,3,43.05,41,31,50.0,0.0,31,50,40.2,15,27,101.59,17,9,7,20
2017021200,TOR,NYI,1,0,4,5,54.54,25,30,33.33,50.0,32,33,59.34,14,11,111.0,13,8,6,8
2017021202,WSH,CAR,0,1,4,1,41.5,31,22,100.0,0.0,21,30,47.31,15,13,94.45,22,14,9,9
2017021204,ANA,LAK,1,1,1,2,61.53,20,32,0.0,0.0,33,29,57.27,16,18,99.87,29,12,6,12
2017021203,COL,CHI,1,1,0,5,47.16,28,25,0.0,100.0,36,33,48.25,14,20,106.67,27,19,5,5
2017021202,CAR,WSH,1,0,1,4,58.49,22,31,100.0,0.0,30,21,52.69,13,15,105.55,6,13,7,6
2017021200,NYI,TOR,0,1,5,4,45.45,30,25,50.0,66.66,33,32,40.66,11,14,89.0,14,21,16,18
2017021199,ARI,LAK,0,0,4,2,45.31,35,29,75.0,0.0,22,35,42.53,13,16,105.09,27,12,1,10
2017021199,LAK,ARI,1,1,2,4,54.68,29,35,100.0,25.0,35,22,57.47,16,13,94.91,28,12,4,10
2017021196,CHI,WPG,1,1,2,6,35.71,36,20,100.0,0.0,42,34,50.0,20,16,108.55,19,22,7,11
